Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Affi;1.020.100;Affi;1.155.208;671,63;78.55;593,08;135.108;1997;1.720
Albaredo d'Adige;1.689.040;Albaredo d'Adige;1.730.350;345,45;8.25;337,2;41.310;1997;5.009
Angiari;582.860;Angiari;651.232;363,41;38.15;325,26;68.372;1997;1.792
Arcole;1.682.000;Arcole;1.763.950;358,38;16.65;341,73;81.950;1997;4.922
Badia Calavena;671.700;Badia Calavena;720.710;316,66;21.53;295,12;49.010;1997;2.276
Bardolino;5.269.000;Bardolino;5.595.346;910,4;53.10;857,31;326.346;1997;6.146
Belfiore;1.164.360;Belfiore;1.225.110;469,39;23.28;446,11;60.750;1997;2.610
Bevilacqua;572.017;Bevilacqua;606.474;364,91;20.73;344,17;34.457;1997;1.662
Bonavigo;682.100;Bonavigo;718.135;383,62;19.25;364,37;36.035;1997;1.872
Boschi Sant'Anna;412.958;Boschi Sant'Anna;416.349;314,23;2.56;311,67;3.391;1997;1.325
Bosco Chiesanuova;1.648.400;Bosco Chiesanuova;1.648.400;534,33;0.00;534,33;0;1997;3.085
Bovolone;5.439.040;Bovolone;6.045.340;434,92;43.62;391,3;606.300;1997;13.900
Brentino Belluno;587.100;Brentino Belluno;656.010;505,4;53.09;452,31;68.910;1997;1.298
Brenzone;1.535.000;Brenzone;1.650.570;688,02;48.17;639,85;115.570;1997;2.399
Bussolengo;6.760.000;Bussolengo;7.753.267;493,15;63.18;429,97;993.267;1997;15.722
Buttapietra;1.596.140;Buttapietra;1.849.545;353,57;48.44;305,13;253.405;1997;5.231
Caldiero;2.015.000;Caldiero;2.098.431;394,66;15.69;378,97;83.431;1997;5.317
Caprino Veronese;2.478.960;Caprino Veronese;2.637.580;362,45;21.80;340,66;158.620;1997;7.277
Casaleone;2.105.630;Casaleone;2.243.130;374,79;22.97;351,82;137.500;1997;5.985
Castagnaro;1.577.020;Castagnaro;1.629.650;383,99;12.40;371,59;52.630;1997;4.244
Castel d'Azzano;4.010.000;Castel d'Azzano;4.292.735;437,36;28.81;408,56;282.735;1997;9.815
Castelnuovo del Garda;4.742.400;Castelnuovo del Garda;5.184.082;630,13;53.69;576,44;441.682;1997;8.227
Cavaion Veronese;1.416.400;Cavaion Veronese;1.557.497;406,98;36.87;370,11;141.097;1997;3.827
Cazzano di Tramigna;497.490;Cazzano di Tramigna;503.020;385,46;4.24;381,22;5.530;1997;1.305
Cerea;6.585.840;Cerea;6.780.887;453,54;13.05;440,49;195.047;1997;14.951
Cerro Veronese;780.000;Cerro Veronese;958.720;534,11;99.57;434,54;178.720;1997;1.795
Cologna Veneta;2.445.290;Cologna Veneta;2.623.001;344,23;23.32;320,9;177.711;1997;7.620
Colognola ai Colli;2.530.310;Colognola ai Colli;2.899.878;428,15;54.56;373,59;369.568;1997;6.773
Concamarise;342.520;Concamarise;359.109;347,3;16.04;331,26;16.589;1997;1.034
Costermano;1.359.960;Costermano;1.426.104;527,8;24.48;503,32;66.144;1997;2.702
Dolce';880.000;Dolcè;951.524;445,05;33.45;411,6;71.524;1997;2.138
Erbe';546.000;Erbè;624.500;389,34;48.94;340,4;78.500;1997;1.604
